Date,AAPL,ABT,ACN,ADBE,AMAT,AMD,AMGN ,AMZN ,ASML ,AVGO ,AXP ,AZN ,BA ,BABA ,BAC ,BHP ,BKNG ,BMY ,BP ,CAT ,CMCSA ,COP ,COST ,CRM ,CSCO ,CVX ,DE ,DHR ,DIS ,ELV ,EQNR ,GE ,GOOG ,GOOGL ,HD ,HDB ,HON ,HSBC ,IBM ,INTC ,INTU ,JNJ ,JPM ,KO ,LIN ,LLY ,LMT ,LOW ,MA ,MCD ,META ,MRK ,MS ,MSFT ,MUFG ,NEE ,NFLX ,NKE ,NVDA ,NVO ,NVS ,ORCL ,PBR ,PEP ,PFE ,PM ,QCOM ,RTX ,RY ,SAP ,SBUX ,SHEL ,SNY ,SONY ,T ,TD ,TJX ,TM ,TMO ,TMUS ,TSLA ,TSM ,TTE ,TXN ,UL ,UNH ,UNP ,UPS ,V ,VZ ,WFC ,WMT ,XOM ,ABEV,ADM,ADSK,AEG,AEP,AFL,AIG,ALC,ALL,APH,APO,AVTR,AZO,BBVA,BCE,BIDU,BIIB,BKR,BN,BNS,CAG,CARR,CCI,CCL,CE,CEG,CNC,COF,COR,CPRT,CRBG,CRH,CRWD,CTVA,CVE,D,DD,DELL,DHI,DLR,DOW,DT,EA,ECL,EL,ENPH,ENTG,ESS,ET,EW,EXC,F,FCX,FTNT,FWON,GIS,GM,GWW,HAL,HES,HLN,HLT,HSY,IBKR,IDXX,ING,IQV,JCI,JD,KDP,KHC,KKR,KMB,KMI,KVUE,LHX,LI,LII,LULU,LVS,LW,MCHP,MET,MFG,MMM,MPLX,MRVL,MSCI,MSI,NGG,NIO,NSC,NU,NUE,NXPI,O,ODFL,ON,OVV,PAYX,PCAR,PCG,PH,PLTR,PNC,PSA,PSX,ROST,RSG,SGEN,SHG,SNA,SNOW,SPG,SRE,STM,STZ,SU,SYY,TAK,TDG,TEAM,TEL,TER,TFC,TRP,TRV,TT,TTD,USB,VLO,VRSK,VRT,WCN,WELL,WMB,WSO,XEL,YUM,AA,AEL,ALKS,AVT,BRZE,COLB,CPG,FIVN,GBDC,GME,HOMB,INTA,IPGP,KFY,LITE,PAGS,POR,QDEL,R,RNG,SITC,SKT,SPT,SXT,THG,TMHC,VMI,VVV,YY,ARCB,AUB,GDRX,GLPG,INDB,MGPI,MOD,RNW,TR,Maturity
1/1/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_year
1/1/1981,19,,,,,,,,,,14,,19,,,,,12,-2,-1,,,,,,1,10,,9,,,7,,,,,3,,3,-2,,11,,11,,14,15,,,6,,13,,,,,,12,,,,,,12,17,,,7,,,,,,4,,,,4,,,,,,-3,,,,,,,13,18,2,,,,,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-37,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,43,,,,,,,,,,,,,-11,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_year
1/1/1982,-35,,,,,,,,,,10,,-49,,,,,5,-42,-4,,,,,,-57,-26,,2,,,-6,,,,,-18,,-16,-44,,15,,11,,-12,40,,,34,,,,,,,,35,,,,,,33,,,,-32,,,,,,12,,,,24,,,,,,-33,,,-34,,,,-17,40,-22,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,-16,,,,,,,-38,,,,,,,,,,,,,,,,,,,,,,,,,,-8,,,,-21,,,,,,,,,,,,,2,,,,-4,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,1_year
1/1/1983,35,,,,,,,,,,46,,51,,,,,27,-14,-28,,-19,,,,-25,-17,,21,,,65,,,439,,-26,,69,72,,37,,60,,3,57,,,39,,,,,,,,60,,,,,,-2,29,,,36,,,,,,-12,,,,-77,,,,,,67,,,-10,,,,4,135,-5,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,132,,,,,,,-32,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,51,,,,,,,,,,,,,34,,,,40,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,-38,,,,,,,30,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,1_year
1/1/1984,-18,,,,,,,,,,2,,29,,,,,26,26,18,,6,,,,8,31,,-17,,,24,,,114,,72,,27,117,,-16,,8,,1,-45,,,17,,7,,,,,,29,,28,,,,7,4,,,28,,,,,,2,,,,36,,,,,,3,,,8,,,,36,56,26,,,,,-4,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15,64,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,57,,,15,,,,,,,,,,6,,,,2,,,,,,,,,,,,,-7,,,,,,,,,,,,-14,,,,,62,,,,,,,53,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,1_year
1/1/1985,20,-8,,,,-12,,,,,15,,29,,,,,24,-6,-34,,30,,,,-10,-23,,14,,,-3,,,-33,,-38,,1,-33,,-9,18,22,,14,10,,,10,,4,,,,11,,-46,,-58,,,,12,18,,,,,,,,,-10,,,,-26,,,,,,-14,,,-19,,,33,-32,-3,20,,-4,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,,,,-3,,,-29,-16,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,-26,,,-7,,-25,,,,,,,,10,,,,6,,,,,,,,,,,,,-8,,,,,,,,,,,,-70,,,,,8,,,,,,,-24,,,,,,,,,,,,,,,-17,,,,,,,,,,,,,,,,,,,,1_year
1/1/1986,-24,64,,,-23,-2,170,,,,41,,38,,,,,26,19,35,,-19,,,,22,-3,,89,,,28,,,-30,,36,,26,4,,50,32,41,,69,12,,,57,,46,,,,26,,80,,24,,,,70,20,,,21,,,,,,47,21,,,24,,,,,,-12,,,32,,,40,36,68,23,,36,,,12,78,62,,,,,,,,12,,,,,,3,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,17,27,,,,20,,34,-4,12,,,,,,,,,,,,,41,,,,,,,,,,,,14,,,,15,,,39,,67,,,,,,,,22,,,,2,,,,,,,,,,,,,34,,,,,,,,,,,,120,,,,,,-18,,,,,,-2,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,1_year
1/1/1987,84,34,,,-8,-53,63,,,,7,,-2,,,,,25,-1,-4,,-3,,,,19,-20,,53,,,18,,,43,,-14,,-23,-28,,27,-7,38,,33,2,1,,13,,81,,,,12,,-17,,13,,,,7,20,,,5,,,,,,1,31,,,123,,,,,,12,,,16,,,33,16,46,27,,6,55,-3,16,25,118,,,,,,,,-10,,,,,,35,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,30,45,,,,41,,13,-11,-13,,,43,,,,,,,,,,19,,,,,,,,,,,,30,,,,-8,,,4,,-15,,,,,,,,21,,,,-17,,,,,,22,,,,,,,34,,,,,,,,,,,,-50,,,,,-22,23,30,,,,,-25,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,1_year
1/1/1988,108,6,,131,105,-28,41,,,,-19,,-27,,-20,,,1,144,55,,21,,,,-11,52,,38,,,4,,,57,,-29,,-3,89,,16,-49,4,,6,-31,-38,,9,,28,,125,,-8,,67,,-34,,180,,29,-23,,,-26,,,,,,86,-7,,,8,,,,,,42,,,-12,,,1,2,12,10,,16,62,-12,-5,9,-33,,,,,,,,7,,,,,,-11,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,-16,34,,,,16,,36,3,6,,,,,,,,,,,,,25,,,,,,,,,,,,11,,,,40,,,-6,,30,,,,,,,22,-31,42,,,-27,,-13,,,,37,,,,,,,-9,,,,,,,,15,,,,-27,,,,,2,-14,-13,,,,,-7,,,,,,,,,,,,,,,-20,,,,,,,,,,,,,,,,,,,,1_year
1/1/1989,-3,,,67,14,-13,9,,,,21,,69,,58,19,,10,2,4,,45,15,,,22,41,66,12,,,5,,,69,,22,,10,-10,,17,59,21,,13,23,33,,11,,12,,-2,,17,,38,,85,,34,,21,29,,,27,,,,,,54,25,,,42,49,,,,,-25,,,23,,,16,36,21,21,,-2,40,43,13,-3,-1,,,,,,,,17,,,6,,,17,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,22,41,,,,8,,-7,17,29,,,9,,,,,58,,,,,20,,,,,,,,,,,,,,,,-14,,,25,,22,,,,,,,53,19,-21,,,18,,155,,,,4,,,,,,,43,,,,,-27,,11,-1,,,9,78,,,,,37,3,18,,,,,-4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,-2,1_year
