Date,AAPL,ABT,ACN,ADBE,AMAT,AMD,AMGN ,AMZN ,ASML ,AVGO ,AXP ,AZN ,BA ,BABA ,BAC ,BHP ,BKNG ,BMY ,BP ,CAT ,CMCSA ,COP ,COST ,CRM ,CSCO ,CVX ,DE ,DHR ,DIS ,ELV ,EQNR ,GE ,GOOG ,GOOGL ,HD ,HDB ,HON ,HSBC ,IBM ,INTC ,INTU ,JNJ ,JPM ,KO ,LIN ,LLY ,LMT ,LOW ,MA ,MCD ,META ,MRK ,MS ,MSFT ,MUFG ,NEE ,NFLX ,NKE ,NVDA ,NVO ,NVS ,ORCL ,PBR ,PEP ,PFE ,PM ,QCOM ,RTX ,RY ,SAP ,SBUX ,SHEL ,SNY ,SONY ,T ,TD ,TJX ,TM ,TMO ,TMUS ,TSLA ,TSM ,TTE ,TXN ,UL ,UNH ,UNP ,UPS ,V ,VZ ,WFC ,WMT ,XOM ,ABEV,ADM,ADSK,AEG,AEP,AFL,AIG,ALC,ALL,APH,APO,AVTR,AZO,BBVA,BCE,BIDU,BIIB,BKR,BN,BNS,CAG,CARR,CCI,CCL,CE,CEG,CNC,COF,COR,CPRT,CRBG,CRH,CRWD,CTVA,CVE,D,DD,DELL,DHI,DLR,DOW,DT,EA,ECL,EL,ENPH,ENTG,ESS,ET,EW,EXC,F,FCX,FTNT,FWON,GIS,GM,GWW,HAL,HES,HLN,HLT,HSY,IBKR,IDXX,ING,IQV,JCI,JD,KDP,KHC,KKR,KMB,KMI,KVUE,LHX,LI,LII,LULU,LVS,LW,MCHP,MET,MFG,MMM,MPLX,MRVL,MSCI,MSI,NGG,NIO,NSC,NU,NUE,NXPI,O,ODFL,ON,OVV,PAYX,PCAR,PCG,PH,PLTR,PNC,PSA,PSX,ROST,RSG,SGEN,SHG,SNA,SNOW,SPG,SRE,STM,STZ,SU,SYY,TAK,TDG,TEAM,TEL,TER,TFC,TRP,TRV,TT,TTD,USB,VLO,VRSK,VRT,WCN,WELL,WMB,WSO,XEL,YUM,AA,AEL,ALKS,AVT,BRZE,COLB,CPG,FIVN,GBDC,GME,HOMB,INTA,IPGP,KFY,LITE,PAGS,POR,QDEL,R,RNG,SITC,SKT,SPT,SXT,THG,TMHC,VMI,VVV,YY,ARCB,AUB,GDRX,GLPG,INDB,MGPI,MOD,RNW,TR,Maturity
1/1/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_year
1/1/1981,,,,,,,,,,,2.95,,-0.23,,,,,-4.74,-1.48,-0.62,,,,,,-0.14,0.17,,-9.97,,,-0.9,,,,,-0.29,,-0.21,,,-10.47,,,,4.11,,,,-16.5,,-11.71,,,,,,,,,,,,-15.74,,,,-2.92,,,,,,-0.21,,,,-0.05,,,,,,1.92,,,-0.08,,,,,,3.69,,,,,-2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.49,,,,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,0.83,,,,,,,,,,,,,-2.55,,,,,,,,,,,,,,,,,28.82,,,,,,,,,,,,,,,,,,,,,,,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_year
1/1/1982,-26.68,,,,,,,,,,-0.16,,-1.82,,,,,-0.76,-2.35,-0.58,,,,,,-0.89,-1.23,,-1.42,,,-0.42,,,,,-0.76,,-0.43,-17.28,,0.28,,-1.27,,-2.36,0.19,,,2.71,,,,,,,,25.21,,,,,,3.31,,,,-2.43,,,,,,,,,,0.03,,,,,,-2.15,,,-1.14,,,,-8.64,7.12,-3.61,,,,,-1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.54,-7.21,,,,,,,-0.41,,,,,,,,,,,,,,,,,,,,,,,,,,-0.81,,,,-0.56,,,,,,,,,,,,,-0.47,,,,-0.9,,,,,,,,,,,,,7.57,,,,,,,,,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,,,,,,-0.07,,,,,,,,,,,,,,,,,,,,1_year
1/1/1983,5.76,,,,,,,,,,1.42,,1.15,,,,,1.69,-1.92,-1.52,,-4.58,,,,-0.65,-1.07,,1.11,,,1.16,,,107.76,,-0.72,,0.72,12.47,,3.81,,16.86,,-0.78,0.14,,,3.14,,,,,,,,28.86,,,,,,-1.79,5.26,,,1.6,,,,,,-0.36,,,,-0.2,,,,,,2.74,,,-0.77,,,,-1.46,16.24,-1.68,,,,,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48,20.1,,,,,,,-0.49,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,,,,0.56,,,,,,,,,,,,,1.24,,,,1.69,,,,,,,,,,,,,17.09,,,,,,,,,,,,,,,,,-6.06,,,,,,,0.19,,,,,,,,,,,,,,,1.06,,,,,,,,,,,,,,,,,,,,1_year
1/1/1984,-13.08,,,,,,,,,,-0.32,,0.47,,,,,1.39,1.85,0.26,,-0.46,,,,-0.17,0.8,,-2.78,,,0.26,,,19.5,,0.95,,0.17,18.34,,-3.32,,-0.1,,-1.46,-0.17,,,0.57,,-0.93,,,,,,12.11,,9.23,,,,-0.77,-1.58,,,1.08,,,,,,-0.21,,,,0.09,,,,,,-0.44,,,-0.15,,,,5.66,4.33,1.83,,,,,-0.96,,,,,,,,,,10.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.52,6.92,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04,,,,0.54,,,0.2,,,,,,,,,,-0.2,,,,-0.52,,,,,,,,,,,,,-3.23,,,,,,,,,,,,-0.73,,,,,5.26,,,,,,,0.33,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,1_year
1/1/1985,7.57,-2.52,,,,-0.1,,,,,0.26,,0.53,,,,,1.3,-1.81,-1.95,,1.65,,,,-1.42,-1.52,,0.46,,,-0.32,,,-7.95,,-0.73,,-0.09,-7.51,,-2.02,0.61,3.12,,0.49,0.01,,,0.13,,-0.78,,,,0.42,,-27.76,,-32.17,,,,0.41,2.6,,,,,,,,,-0.45,,,,-0.7,,,,,,-1.41,,,-1.85,,,2.96,-8.96,-1.05,1.18,,-0.44,,,0.91,,,,,,,,,,-2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.77,-0.1,,,,-2.04,,,-0.86,-0.51,,,,,,,,,,,,,,,,,,,,,,,,,-0.82,,,,-0.47,,,-0.84,,-4.12,,,,,,,,0.07,,,,-0.15,,,,,,,,,,,,,-4.07,,,,,,,,,,,,-2.47,,,,,-0.11,,,,,,,-0.28,,,,,,,,,,,,,,,-0.47,,,,,,,,,,,,,,,,,,,,1_year
1/1/1986,-18.67,4.7,,,-13.6,-0.04,42.86,,,,1.42,,0.68,,,,,1.34,2.3,1.08,,-1.86,,,,0.93,-0.42,,3.92,,,0.52,,,-9.73,,0.53,,0.23,-0.1,,3.19,0.94,4.99,,2.74,0.06,,,2.94,,2.95,,,,3.63,,34.39,,14.39,,,,4.01,2.34,,,0.85,,,,,,0.87,2.26,,,0.16,,,,,,-1.63,,,1.64,,,1.98,7.78,4.6,1.14,,0.98,,,0.24,15.33,2.03,,,,,,,,1.99,,,,,,-0.19,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,1.16,2.36,,,,1.43,,1.29,-0.27,0.11,,,,,,,,,,,,,2.26,,,,,,,,,,,,0.36,,,,0.14,,,1.76,,5.24,,,,,,,,0.43,,,,-0.21,,,,,,,,,,,,,5.17,,,,,,,,,,,,4.89,,,,,,-2.32,,,,,,-0.07,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,1_year
1/1/1987,21.81,1.45,,,-4,-0.25,8.41,,,,,,-0.18,,,,,0.81,-0.23,-0.37,,-0.56,,,,0.43,-1.06,,1.25,,,0.14,,,7.45,,-0.47,,-0.24,-6.27,,1.11,-0.33,3.38,,0.73,-0.05,,,0.26,,2.94,,,,0.99,,-9.09,,4.19,,,,0.01,1.49,,,-0.07,,,,,,-0.04,3.02,,,0.8,,,,,,0.27,,,0.36,,,1.33,2.7,1.55,1.06,,-0.02,1.82,-1.64,0.43,2.97,3.02,,,,,,,,-5.64,,,,,,1.6,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,2.3,2.34,,,,2.61,,0.12,-0.43,-0.29,,,1.37,,,,,,,,,,0.51,,,,,,,,,,,,0.65,,,,-0.16,,,-0.09,,-1.61,,,,,,,,0.27,-0.17,,,-0.92,,,,,,0.24,,,,,,,3.37,,,,,,,,,,,,-3.4,,,,,-3.14,0.9,1.15,,,,,-0.25,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,1_year
1/1/1988,31.33,-0.1,,6.98,21.19,-0.16,5.16,,,,-0.66,,-0.51,,-0.99,,,-0.31,3.41,1.54,,0.64,,,,-0.65,1.52,,0.79,,,-0.04,,,9.06,,-0.89,,-0.09,10.94,,0.41,-1.18,-0.37,,-0.05,-0.41,-6.07,,0.05,,0.73,,49.46,,-2.99,,19.41,,-27.97,,102.07,,1,-3.8,,,-1.31,,,,,,0.42,-1.51,,,,,,,,,1.59,,,-0.77,,,-0.32,-1.1,0.18,0.12,,0.18,1.6,-3.02,-0.57,0.17,-1.09,,,,,,,,-0.13,,,,,,-1.08,,,,,,,,,,,,,,,-0.85,,,,,,,,,,,,,,,-2.04,1.22,,,,0.58,,0.45,-0.11,-0.03,,,-0.28,,,,,,,,,,0.67,,,,,,,,,,,,0.09,,,,0.3,,,-0.41,,1.88,,,,,,,2.45,-0.68,0.7,,,-1.55,,-4.2,,,,0.38,,,,,,,-1.8,,,,,,,,0.35,,,,-2.28,,,,,-0.48,-1.38,-0.93,,,,,-0.12,,,,,,,,,,,,,,,-0.22,,,,,,,,,,,,,,,,,,,,1_year
1/1/1989,-3.4,,,2.59,0.94,-0.16,-0.03,,,,0.27,,0.67,,1.01,0.11,,0.05,-0.14,-0.18,,1.39,0.09,,,0.36,0.96,7.58,0.05,,,-0.03,,,5.79,,0.37,,0.01,-2.49,,0.37,1.06,0.73,,0.09,0.16,4.16,,0.09,,0.12,,-3.24,,1.53,,4.06,,41.35,,5.16,,0.36,2.53,,,0.65,,,,,,0.21,1.22,,,0.22,0.42,,,,,-1.52,,,0.54,,,0.24,3.49,0.42,0.62,,-0.15,0.7,4.39,0.15,-2.02,-0.4,,,,,,,,2.05,,,-0.02,,,0.43,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,1.1,1.49,,,,-0.01,,-0.22,0.14,0.26,,,0.02,,,,,2.06,,,,,0.36,,,,,,,,,,,,-0.2,,,,-0.18,,,0.41,,0.97,,,,,,,6.47,0.18,-0.6,,,0.52,,23.8,,,,-0.05,,,,,,,2.4,,,,,-0.52,,0.19,-0.26,,,0.06,3.88,,,,,2.02,-0.34,0.45,,,,,-0.12,,,,,,,,,,,,,,,-0.07,,,,,,,,,,,,,,,,,,,-0.33,1_year
1/1/1990,-6.99,1.58,,-0.89,3.79,-0.18,2.42,,,,0.62,,0.35,,0.92,0.17,,0.79,0.83,-0.56,3.51,1.12,0.37,,,1.46,0.43,0.03,0.88,,,0.31,,,4.37,,0.18,,-0.38,5.09,,1.38,-0.08,3.31,,1.03,-0.16,3.79,,1.26,,1.03,,10.62,,3.21,,10.46,,18.14,,15.65,,1.24,2.03,,,1.23,,,,,,-0.01,4.14,,-5.43,-0.13,0.51,,,,,-1.15,2.05,,0.88,,,1.47,4.52,1.03,0.62,,0.91,0.68,3.47,0.91,4.58,2.6,,,,,,,-1.71,5.81,,,0.82,,,1.68,,,,,,,,,,,,,,,1.05,,,,,,,,0.15,,,,,,,1.51,-0.67,,,,1.46,,0.21,0.89,0.77,,,1.09,,,,,1.14,,,,,0.61,,,,,,,,,,,,0.68,,,,0.23,,,0.75,,1.18,,,,,,,0.37,0.57,-0.36,,0.03,0.01,,4.02,,,,-0.18,,,,,,,3.7,,,,,-0.39,,0.86,0.89,,,-1.65,4.07,,,,,1.83,3.93,0.95,,,,,0.38,,,,,,,,,,,,,,,-0.3,,,,,-0.06,,,,,,,,,,,,,,0.29,1_year
1/1/1991,4.8,0.82,,1.11,-6.65,-0.48,2.95,,,,-0.88,,0.1,,-0.79,0.01,,0.48,0.66,-0.8,-1.87,0.08,-0.27,,,0.17,-0.5,-0.16,-0.19,,,-0.09,,,1.4,,-0.55,,0.21,0.77,,0.45,-1.33,0.49,,0.07,-0.2,-2.03,,-0.57,,0.22,,6.13,,-2.47,,3.66,,11.83,,-7.68,,0.32,0.95,,,-0.62,,,,,,-0.19,-0.84,,-8.13,-0.3,-0.1,,,,,0.16,0.35,,-0.38,,,-0.12,-0.67,0.46,0.13,,-0.08,0.4,0.24,-0.38,0.05,-0.45,,,,,,,-5.07,-2.29,,,-0.03,,,0.87,,,-0.74,,,,,,,,,,,,0.03,,,,,,,,-1.56,,,,,,,-1.22,-1.7,,,,0.88,,-0.01,0.04,-0.11,,,0.03,,,,,-0.6,,,,,0.29,,,,,,,,,,,,0.14,,,,-0.1,,,0.02,,-0.11,,,,,,,-3.35,0.24,-0.21,,-0.52,-1.77,,-7.64,,,,-0.06,,,,,,,0.08,,,,,-1.03,,-0.04,0.11,,,-1.03,-0.19,,,,,-2.64,-1.53,-0.45,,,,,-0.25,,,,,,,,,,,,,,,-0.36,,,,,0.72,,,,,,,,,,,,,,0.07,1_year
1/1/1992,6.2,1.53,,2.46,7.5,1.77,3.97,,,,-0.01,,0.03,,1.52,0.22,,0.71,-0.37,-0.26,2.04,-0.36,0.26,,31.75,-0.15,0.05,2.91,0.16,,,0.24,,,2.73,,1.25,,-0.2,2.23,,1.42,1.95,2.25,,0.23,0.41,3.35,,0.81,,1.29,,8.98,,4.18,,5.07,,23.69,,9.32,,0.48,6.15,,,0.65,,,,,,-0.15,1.16,,9.66,-0.09,0.68,,,,,-1.08,0.95,9.26,1.38,,,-0.34,5.03,1.26,0.76,,0.49,-0.45,0.99,0.98,7.09,-0.26,,,,,,,1.62,4.57,,,-0.28,,,1.12,,,2.09,,,,,,,,,,,,1.11,,,,,,,7.14,1.78,,,,,,,2.97,0.32,,,,1.3,,0.49,-0.6,,,,0.61,,,,,-0.85,,,,,0.39,,,,,,,,,,,,0.27,,,,0.13,,,0.68,,1.36,,,,,,10.57,6.05,0.52,0.67,,1.22,1.65,,21.62,,,,0.06,,,,,,,1.83,,,,,2.37,1.44,0.31,0.49,,,5.54,3.44,,,,,3.92,0.14,1.04,,,,,0.04,,,,,,,,,,,,,,,0.45,,,,,0.39,,,-0.07,,,,,,,-1.61,0.86,0.65,,0.8,1_year
1/1/1993,0.58,-0.51,,-1,5.42,,-0.12,,,,0.53,,-0.2,,0.76,-0.1,,-0.62,-0.93,0.54,0.53,0.22,-0.34,,14.27,0.05,-0.16,2.49,0.83,,,0.08,,,0.72,,0.59,,-0.43,5.02,,-0.34,2.04,0.08,,-0.59,0.29,2.18,,0.73,,-0.33,,0.84,,0.16,,0.61,,,,7.87,,0.37,-0.85,,-0.34,-0.44,,,,,,-0.03,0.77,,11.41,-0.03,-0.03,,,,-0.65,2.08,-0.07,1.4,0.35,,,0.26,0.96,0.07,0.07,,-0.28,0.44,1.63,0.02,1.52,1.11,,,-6.41,,,0.06,-4.06,-4.01,,-1.02,0.01,,,-0.23,,,0.48,,,,,,,,,,,,0.22,,,,,,,1.49,0.89,,,,,,,0.16,1.99,,,,-0.24,,0.07,0.01,-0.06,,,0.17,,1.38,,,0.84,,,,,0.28,,,,,,,,,,,,0.13,,,,0.18,,,0.04,,1.75,,,2.6,,,3.85,2.33,0.06,-0.09,,0.29,0.47,,2.67,,,,-0.02,,,,,,,0.48,,,,,-0.09,1.72,-0.67,0.13,,,1.05,-1.06,,,,,0.18,3.37,0.12,,,,-0.38,0.29,,,,,,,,,,,,,,,0.59,,,,,-0.33,,,0.85,,,,,,,5.24,0.12,0.66,,0.03,1_year
1/1/1994,-9.05,-0.3,,0.66,6.07,-0.04,-0.52,,,,0.59,,0.06,,-0.2,0.2,,-0.48,0.94,1.44,2.8,0.42,0.1,,4.09,0.63,1.12,3.14,-0.09,,,0.15,,,-0.52,,0.48,,0.11,2.3,,-0.31,0.07,0.1,-0.12,-0.05,0.19,5.73,,0.34,,-0.42,,-0.63,,1.27,,-2.46,,3.24,,5.6,,-0.09,-0.46,,5.66,1.05,,,2.32,,,0.34,0.51,,-0.04,0.2,0.32,,,,1.03,1.28,,0.72,0.12,,,0.42,0.61,-0.41,0.12,,-0.26,-0.09,2.05,0.33,-0.07,1.2,,,21.03,,,0.17,1.09,2.22,,-1.44,-0.02,,,-0.65,,,0.91,,,,,,,,,,,,0.53,,,2.39,,,,0.4,0.87,,,,,,,1.08,1.73,,,,-0.58,,-0.07,0.18,-0.09,,,0.04,,3.02,,,1.33,,,,,-0.23,,,,,,,,,,,,0.12,,,,0.17,,,0.25,,0.52,,,-1.09,,,3.07,0.61,0.08,0.54,,0.01,2.15,,-7.2,,,,0.22,,,,,2.35,,0.32,,,,,0.93,-0.08,0.57,0.31,,,0.47,-0.69,,,,0.06,0.95,0.09,0.01,,,,-0.18,0.09,,0.17,,,,,,,,,,,,-0.03,0.12,,,,,-0.16,,,0.09,,,-0.01,,,,1.22,0.31,0.55,,-0.17,1_year
1/1/1995,4.84,0.16,,0.36,0.06,0.16,0.14,,,,0.1,0.3,0.04,,-0.18,0.22,,,0.49,0.32,-1.21,0.33,-0.62,,0.09,0.02,-0.18,1.76,0.04,,,-0.02,,,0.28,,-0.24,,0.28,-0.07,0.4,0.24,-0.2,0.2,0.29,0.11,0.02,0.35,,-0.04,,0.1,-0.15,1.52,,-0.98,,2.06,,-3.57,,1.75,,-0.17,0.32,,-0.52,-0.03,,,1.69,,,0.05,-0.14,,-8.49,0.15,,,,,0.18,0.23,-0.08,0.25,-0.62,,,-0.36,-0.28,-0.34,-0.14,,0.42,0.85,0.56,-0.18,0.63,-0.76,,-0.33,5.14,,,-0.1,1.32,-2.02,,-2.1,-0.15,,,0.38,,,-0.3,,,,,,,,1.46,,,,-0.66,,,-1.34,,,,-0.31,-0.35,,,,,,,-1.06,-0.59,,,,-0.31,,-0.04,0.02,-0.06,,,-0.09,,0.07,,,-0.61,,,,,-0.05,,,,,,,,,1.9,,,-0.07,,,,0.04,,,-0.24,,-0.02,,,-1.35,,,0.4,-3.26,-0.3,0.26,,-0.34,0.02,,-3.06,,,,-0.12,,0.59,,,0.29,-0.62,-0.76,,,,,0.09,-0.19,-1.29,-0.04,,,0.18,-1.58,,,,-0.46,0.01,0.93,0.11,,,,-0.93,-0.07,,-0.5,,,,,,,,,,,,-0.61,-0.31,,0.27,-2.04,,-0.35,,,-0.27,,,-0.23,,,,0.35,-0.24,-0.01,,-0.24,1_year
1/1/1996,-7.71,0.49,,1.3,1.39,-0.19,1.14,,,,0.55,0.98,0.34,,0.61,-0.05,,0.7,0.4,0.05,0.42,0.06,0.2,,2.1,0.33,0.8,0.69,0.27,,,0.1,,,-0.03,,0.33,,0.13,0.81,0.78,0.58,0.67,0.43,0.61,0.57,0.04,-0.28,,0.73,,0.61,0.61,0.71,,2.84,,1.78,,10.06,,1.08,,0.49,1.43,,3.08,0.86,,,2.54,,,0.04,1.22,,1.89,-0.02,0.28,,,,0.41,0.55,0.37,0.54,0.73,,,0.8,1.13,,0.68,,-0.22,-0.15,1.78,0.5,1.55,0.7,,0.63,-0.61,,,0.06,4.1,1.33,,18.03,0.31,,,0.57,,,0.24,,,,0.69,,14.88,,1.23,,,,0.68,,,2.11,,,,0.24,1.05,,,,0.59,,,1.22,0.1,,,,0.65,,0.09,0.95,0.22,,,0.36,,1.25,,,1.16,,,,,0.57,,,,,,,,,0.8,,,0.22,,,,-0.01,,,0.36,,-0.03,,3.18,-3.45,,,1.74,-0.14,0.17,0.12,,0.48,0.6,,6.07,,,,0.31,,0.01,,1.09,-0.34,3.95,1.12,,,,,0.22,0.82,0.55,0.34,,,0.92,2.03,,,,-0.36,2.08,0.88,0.49,,,,2.3,0.1,,0.8,,,,,,,,,,,,1.86,0.12,,-0.06,1.16,,0.7,,,0.45,,,-0.43,,,,1.14,-0.46,-0.2,,0.33,1_year
